"id","version","baseMean","log2FoldChange","lcfSE","stat","pvalue","padj","status"
"ENSMUSG00000041078","6",958.549277202242,0.387738062176328,0.243231193501253,1.59411322452081,0.110910677440461,0.530733229729095,"NS"
"ENSMUSG00000045624","15",366.79389416447,0.362384444733335,0.227399127425548,1.5936052562558,0.111024476470699,0.530926224290536,"NS"
"ENSMUSG00000028189","12",1860.54032096515,-0.20381400808747,0.127930501677671,-1.59316195445705,0.111123863717379,0.531032343530286,"NS"
"ENSMUSG00000021115","14",1169.81859838486,-0.219197766236245,0.137585533205594,-1.59317452299798,0.111121044912285,0.531032343530286,"NS"
"ENSMUSG00000026496","11",2979.871357149,-0.255245369854095,0.16043029009876,-1.5910048513717,0.111608483970171,0.531870288348325,"NS"
"ENSMUSG00000027950","7",79.8287874542364,-0.385427048221067,0.242184826446792,-1.59145828364167,0.111506476543759,0.531870288348325,"NS"
"ENSMUSG00000044018","3",3599.07080587212,0.211221338812867,0.132694771823373,1.59178342831787,0.111433374931625,0.531870288348325,"NS"
"ENSMUSG00000047710","8",770.427999524221,-0.242348411254898,0.152219800244218,-1.59209518647429,0.111363318504303,0.531870288348325,"NS"
"ENSMUSG00000052151","11",2004.94820304244,-0.21910270014889,0.137683928404173,-1.59134550189264,0.111531841871263,0.531870288348325,"NS"
"ENSMUSG00000020128","15",5096.1398710666,-0.163161260080982,0.102532167363289,-1.59131777155236,0.111538079297212,0.531870288348325,"NS"
"ENSMUSG00000024457","16",1296.89821499283,-0.255098878576354,0.160249809138264,-1.59188257351528,0.111411091845681,0.531870288348325,"NS"
"ENSMUSG00000058064","5",81.2059276055736,0.379664112250154,0.238620419242505,1.5910797301228,0.111591633627122,0.531870288348325,"NS"
"ENSMUSG00000030588","12",3383.6109679438,0.177245520177793,0.111439824692282,1.59050429832621,0.111721177519602,0.532222977948299,"NS"
"ENSMUSG00000007888","15",108.521460532307,-0.358475351470507,0.225497748691671,-1.58970700838641,0.111900863198303,0.532511330310947,"NS"
"ENSMUSG00000019797","10",587.754436834894,0.274224602923117,0.172465433097969,1.59002646499803,0.111828839731239,0.532511330310947,"NS"
"ENSMUSG00000021962","8",1145.19364293183,-0.243651101433822,0.153271072599886,-1.58967440692395,0.111908215456636,0.532511330310947,"NS"
"ENSMUSG00000022637","10",2562.03827183567,-0.293998455309674,0.184957166215321,-1.58954887407505,0.111936529092837,0.532511330310947,"NS"
"ENSMUSG00000078517","11",10856.9813961237,-0.152626980299489,0.0960615974185495,-1.58884491202534,0.112095410768103,0.533082841806968,"NS"
"ENSMUSG00000022177","8",531.353622146603,0.268850408588879,0.169247626028947,1.58850327710296,0.112172580603992,0.533265502401424,"NS"
"ENSMUSG00000059713","12",1182.59537376631,-0.262748221979188,0.165517604564899,-1.58743369123715,0.112414453793319,0.534017870062369,"NS"
"ENSMUSG00000004207","14",137647.551643888,0.203382648000614,0.128132113288127,1.58728864124228,0.112447286638369,0.534017870062369,"NS"
"ENSMUSG00000078429","8",7542.40670792063,-0.34980731124207,0.220368195276217,-1.58737657584213,0.112427381267318,0.534017870062369,"NS"
"ENSMUSG00000020614","13",188.498228220365,-0.354614305732712,0.223441361764019,-1.58705757489621,0.112499605361139,0.53408197741841,"NS"
"ENSMUSG00000036975","5",1366.10824822667,0.190602135100405,0.120187068532369,1.58587889219606,0.112766784868632,0.534151578207721,"NS"
"ENSMUSG00000074918","4",2410.45026533561,-0.278002895554633,0.175198175524704,-1.586791042327,0.112559978284656,0.534151578207721,"NS"
"ENSMUSG00000036323","14",6186.95901920871,-0.274132504681329,0.17285011242923,-1.58595502674936,0.112749511869133,0.534151578207721,"NS"
"ENSMUSG00000041890","17",1432.38418413119,-0.209930715918878,0.132367793842664,-1.58596520969752,0.112747201774545,0.534151578207721,"NS"
"ENSMUSG00000050910","5",114.081116982915,-0.398981778033251,0.251568638702804,-1.58597581992164,0.112744794788198,0.534151578207721,"NS"
"ENSMUSG00000033114","10",589.660264453914,-0.239569507012512,0.151072271703583,-1.58579403295509,0.112786039736403,0.534151578207721,"NS"
"ENSMUSG00000023905","14",1964.68282809257,-0.258272521317959,0.162857171400092,-1.58588362488171,0.112765711081477,0.534151578207721,"NS"
"ENSMUSG00000051510","13",3095.72401979634,0.236069408327233,0.148949387897483,1.58489680058109,0.112989783580419,0.534932361493255,"NS"
"ENSMUSG00000041459","15",6377.6286630251,0.211755557174516,0.133659915756775,1.58428617866148,0.113128609608748,0.535221255501084,"NS"
"ENSMUSG00000021908","9",870.019576927028,-0.32182295557829,0.203119651731762,-1.58440088309765,0.113102521094877,0.535221255501084,"NS"
"ENSMUSG00000075277","4",34.0787176459264,0.416940334395304,0.263204975081204,1.5840898686154,0.113173269601307,0.535222546132468,"NS"
"ENSMUSG00000029020","13",19653.5960139176,-0.184168799765628,0.116277063896711,-1.58387900067054,0.113221256949141,0.535222546132468,"NS"
