"GeneID"	"EPI_ADIPO_KO_840"	"EPI_ADIPO_KO_843"	"EPI_ADIPO_KO_857"	"EPI_ADIPO_KO_891"	"EPI_ADIPO_WT_841"	"EPI_ADIPO_WT_842"	"EPI_ADIPO_WT_858"	"EPI_ADIPO_WT_892"
"ENSMUSG00000108290.1"	7.59153545724088	6.64680627315065	12.4832609246888	23.7037189824195	6.99318033840081	1.68638934262885	17.6901168843765	12.5450267157328
"ENSMUSG00000022772.11"	1127.76476737012	1241.05368557256	2489.16222838295	1730.37148571662	1400.19010775536	1342.36591673257	1501.57874495031	2215.64471840942
"ENSMUSG00000052384.13"	492.606300780964	621.951158416239	312.913740512199	178.293190606894	695.432933652081	531.212642928089	136.317959520784	205.545437727006
"ENSMUSG00000035764.5"	3211.21949841289	2727.08965949838	2512.46431544237	5038.58617848038	2616.2264665995	2752.18740717029	7297.69351236072	2867.98610762753
"ENSMUSG00000022787.10"	233.65059129508	228.840044547044	203.893261769917	276.199855969062	209.795410152024	217.544225199122	252.864611935499	194.930415121386
"ENSMUSG00000046345.4"	11.809055155708	11.3945250396868	7.48995655481328	13.3977542074545	6.21616030080072	5.05916802788656	7.28416577591973	13.5100287707892
"ENSMUSG00000108189.1"	16.8700787938686	27.5367688459098	49.100826303776	32.979087279888	11.6553005640014	33.7277868525771	24.9742826602962	28.950061651691
"ENSMUSG00000107472.1"	5.90452757785402	0	0	0	0	0	1.04059511084568	0
"ENSMUSG00000051237.6"	2.53051181908029	1.89908750661447	1.66443478995851	1.0305964774965	1.55404007520018	0	0	0
"ENSMUSG00000016179.11"	1.68700787938686	3.79817501322894	1.66443478995851	1.0305964774965	3.88510018800045	0	0	2.8950061651691
"ENSMUSG00000014074.17"	307.878937988102	328.542138644304	1079.38596128809	1184.15535264348	237.768131505628	286.686188246905	1187.31902147492	1143.5274352418
"ENSMUSG00000053774.8"	3787.3326892235	2979.66829787811	2821.21696897967	3399.93777926095	3693.95325875083	3453.72537370389	3733.65525771428	3425.75729545011
"ENSMUSG00000085376.1"	0.843503939693431	0.949543753307236	1.66443478995851	1.0305964774965	3.10808015040036	0	2.08119022169135	1.93000411011274
"ENSMUSG00000079625.2"	53.9842521403796	61.7203439649703	249.665218493776	90.6924900196919	101.012604888012	18.5502827689174	7.28416577591973	88.7801890651859
"ENSMUSG00000038295.14"	23.6181103114161	40.8303813922111	12.4832609246888	8.24477181997199	51.2833224816059	65.7691843625253	77.00403820258	56.9351212483257
"ENSMUSG00000097336.8"	22.7746063717226	6.64680627315065	15.8121305046058	5.15298238748249	13.9863606768016	5.05916802788656	5.20297555422838	14.4750308258455
"ENSMUSG00000046610.14"	1.68700787938686	4.74771876653618	4.99330436987552	1.0305964774965	6.21616030080072	3.37277868525771	1.04059511084568	1.93000411011274
"ENSMUSG00000060613.10"	6.74803151754745	12.3440687929941	32.4564784041909	6.18357886497899	38.0739818424044	43.8461229083502	10.4059511084568	21.2300452112401
"ENSMUSG00000103201.1"	1.68700787938686	0	0	1.0305964774965	0	0	1.04059511084568	0
"ENSMUSG00000035699.7"	1.68700787938686	1.89908750661447	0.832217394979254	2.061192954993	3.10808015040036	3.37277868525771	3.12178533253703	0
"ENSMUSG00000022797.15"	4546.48623494759	6402.77352855069	4810.21654298009	4529.47151859711	2332.61415287547	3930.97355766786	1654.54622624462	2321.79494446562
"ENSMUSG00000105229.1"	16.0265748541752	13.2936125463013	5.82552176485477	6.18357886497899	17.094440827202	15.1775040836597	2.08119022169135	5.79001233033821
"ENSMUSG00000079620.13"	0	0	0.832217394979254	2.061192954993	4.66212022560054	1.68638934262885	0	1.93000411011274
"ENSMUSG00000094430.2"	0	0	0	0	0	1.68638934262885	0	0
"ENSMUSG00000107548.1"	0	1.89908750661447	0	0	0	0	0	0
"ENSMUSG00000033955.12"	2236.12894412729	2647.32798422057	7297.71433657307	10251.3431616577	2824.46783667633	2920.82634143317	9571.39382955852	6790.71946143166
"ENSMUSG00000035629.17"	773.493112698876	926.754703227862	1406.44739751494	1257.32770254573	926.207884819307	743.697700099324	1651.42444091209	1642.43349770594
"ENSMUSG00000022800.13"	3966.99902837821	3848.50083215423	3625.13897252963	3317.49006106123	3835.37090559404	4833.1918559743	3044.78129433445	3756.75300033444
"ENSMUSG00000062585.11"	101.220472763212	79.7616752778078	44.9397393288797	30.917894324895	108.005785226413	62.3964056772676	7.28416577591973	16.4050349359583
"ENSMUSG00000086662.7"	4.21751969846715	3.79817501322894	3.32886957991701	2.061192954993	2.33106011280027	0	8.32476088676541	3.86000822022547
"ENSMUSG00000022811.16"	2280.83465293104	2044.36770087048	4013.78449598494	3697.78016125744	2571.1593044187	2725.20517768823	3694.11264350215	4132.13879975137
"ENSMUSG00000035506.16"	13.4960630350949	12.3440687929941	11.6510435297095	9.27536829746849	24.8646412032029	10.1183360557731	6.24357066507405	36.670078092142
"ENSMUSG00000075254.11"	1981.39075433987	2087.0971697693	4900.92823903282	6132.04904110417	4442.22355495972	3976.50606991884	14182.2707657157	16935.7860662393
"ENSMUSG00000085784.1"	16.8700787938686	13.2936125463013	20.8054348744813	15.4589471624475	13.2093406392015	3.37277868525771	11.4465462193024	10.61502260562
"ENSMUSG00000007036.15"	7815.90750519933	7918.24535882904	5485.97706770324	5465.25312016393	7518.44588381847	6548.24981742784	6798.2078591548	5865.28249063261
"ENSMUSG00000051503.2"	1.68700787938686	4.74771876653618	0.832217394979254	1.0305964774965	0.77702003760009	5.05916802788656	4.1623804433827	0
"ENSMUSG00000021377.14"	552.495080499197	390.262482609274	915.439134477179	942.995776909296	554.015286808864	600.354605975872	773.162167358337	885.871886541746
"ENSMUSG00000061751.15"	16.8700787938686	18.0413313128375	51.5974784887137	21.6425260274265	23.3106011280027	13.4911147410308	13.5277364409938	30.8800657618038
"ENSMUSG00000079426.13"	7383.1899841366	7801.45147717225	4509.78606339257	4116.20233112102	6509.87387501355	7178.95943157103	3971.95153809794	4327.06921487275
"ENSMUSG00000022832.10"	0.843503939693431	0	0	0	33.4118616168039	0	0	0
"ENSMUSG00000059991.7"	9.27854333662774	5.69726251984341	0	0	5.43914026320063	5.05916802788656	0	0
"ENSMUSG00000034473.13"	2828.26870979207	2578.01129022915	1501.32018054257	1193.43072094095	2547.8487032907	2893.84411195111	1411.04697030674	1621.2034524947
"ENSMUSG00000022365.5"	22098.9597160282	20802.6045474549	12050.5078792996	17019.2702293772	16477.4869173475	18901.0517521842	20284.3204957148	12657.9319561744
"ENSMUSG00000103822.1"	0.843503939693431	1.89908750661447	0.832217394979254	0	2.33106011280027	1.68638934262885	2.08119022169135	0
"ENSMUSG00000091034.8"	0	0	0	0	0	0	0	0
"ENSMUSG00000022844.7"	149.300197325737	124.390231683248	148.966913701286	109.243226614629	189.592889174422	118.04725398402	105.100106195413	163.085347304526
"ENSMUSG00000027485.15"	0	0	0	0	0	0	1.04059511084568	0
"ENSMUSG00000052133.16"	21.9311024320292	10.4449812863796	1.66443478995851	3.0917894324895	9.32424045120108	23.609450796804	11.4465462193024	4.82501027528184
"ENSMUSG00000095189.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000034422.14"	225.215551898146	198.454644441212	1155.94996162618	833.752550294667	414.151680040848	340.650647211028	1141.53283659771	1638.57348948571
"ENSMUSG00000042202.15"	1283.8129962134	1351.2007609562	1520.4611806271	1586.08797886711	1471.67595121457	1374.40731424252	1826.24441953416	1769.81376897338
"ENSMUSG00000101586.1"	5.90452757785402	0	2.49665218493776	4.12238590998599	4.66212022560054	5.05916802788656	1.04059511084568	1.93000411011274
"ENSMUSG00000049502.16"	816.511813623241	870.731621782735	2110.50331366739	1522.19099726233	1733.5317038858	1551.47819521855	3301.80828671333	3051.33649808824
"ENSMUSG00000022906.15"	1704.72146212042	1598.08213681608	2671.4178378834	1605.66931193954	3168.68771333317	2865.17549312642	2949.04654413665	3569.54260165351
"ENSMUSG00000034379.8"	215.093504621825	180.413313128375	100.69830479249	131.916349119552	161.620167820819	215.857835856493	116.546652414716	81.0601726247349
"ENSMUSG00000087339.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000075229.10"	206.658465224891	147.179281762622	108.188261347303	141.19171741702	152.295927369618	146.71587280871	124.871413301481	103.255219891031
"ENSMUSG00000103657.1"	141.708661868496	106.34890037041	127.329261431826	99.9678583171604	107.228765188812	153.461430179226	88.4505844218824	122.555260992159
